company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
Hertie School of Governance;Data Scientist;4.5;21;23;22;EUR;hourly;Berlin
Max Planck Institute for Mathematics;Data Scientist;4.3;47000;50000;48000;EUR;yearly;Berlin
CENTA MG;Data Scientist;5;53000;57000;55000;EUR;yearly;Berlin
Data Science Retreat;Data Scientist;-0.10000000149011612;63000;67000;65000;EUR;yearly;Berlin
Envio Systems;Data Scientist;2;62000;67000;65000;EUR;yearly;Berlin
Charité;Data Scientist;3.8;3000;4000;3000;EUR;monthly;Berlin
Max Planck Institute for Molecular Genetics;Data Scientist;4;5000;5000;5000;EUR;monthly;Berlin
Universidade Anhembi Morumbi;Data Scientist;3.6;95000;103000;99000;EUR;yearly;Berlin
InPost;Data Scientist;3.4;5000;5000;5000;EUR;monthly;Berlin
Tech Expert Academy;Data Scientist;5;48000;52000;50000;EUR;yearly;Berlin
Significo;Data Scientist;2.9;58000;62000;60000;EUR;yearly;Berlin
foodora;Data Scientist;3.5;68000;72000;70000;EUR;yearly;Berlin
Nyris;Data Scientist;4.6;53000;58000;55000;EUR;yearly;Berlin
Berliner Zeitung;Data Scientist;2;56000;61000;58000;EUR;yearly;Berlin
Lenzing;Data Scientist;3.7;2000;2000;2000;EUR;monthly;Berlin
Carmeq;Data Scientist;4.6;60000;66000;63000;EUR;yearly;Berlin
Zibtek;Data Scientist;3.9;43000;46000;45000;EUR;yearly;Berlin
Urban Energy (Germany);Data Scientist;-0.10000000149011612;52000;58000;55000;EUR;yearly;Berlin
DCMN;Data Scientist;3.7;53000;57000;55000;EUR;yearly;Berlin
Blinkist;Data Scientist;4.4;2000;2000;2000;EUR;monthly;Berlin
Signavio;Data Scientist;3.9;54000;58000;56000;EUR;yearly;Berlin
iNeuron;Data Scientist;3.7;954;1000;993;EUR;monthly;Berlin
Leibniz-Forschungsinstitut für Molekulare Pharmakologie im Forschungsverbund;Data Scientist;4.1;3000;3000;3000;EUR;monthly;Berlin
Spring Professional;Data Scientist;3.4;64000;70000;67000;EUR;yearly;Berlin
Positive Thinking Company;Data Scientist;3.6;62000;68000;65000;EUR;yearly;Berlin
Nielsen;Data Scientist;3.3;5000;5000;5000;EUR;monthly;Berlin
Bayer;Data Scientist;3.9;4000;4000;4000;EUR;monthly;Berlin
Volkswagen Financial Services;Data Scientist;3.7;82000;89000;86000;EUR;yearly;Berlin
Auswärtiges Amt;Data Scientist;4.4;72000;79000;75000;EUR;yearly;Berlin
Tempus Energy;Data Scientist;4.5;53000;58000;55000;EUR;yearly;Berlin
Tourlane;Data Scientist;3.5;65000;71000;68000;EUR;yearly;Berlin
Deine Mutter;Data Scientist;4;50000;54000;52000;EUR;yearly;Berlin
